"Subj","File","Word","Consonant","MinIntensity","Vowel","MaxIntensity","IntensityDifference","test_perc","test_cefr","Context"
"209","fcd260603","fcd260603_t1.wav","PERDÍA","d",37.1357693603891,"i",61.4906528172229,24.3548834568338,40,"B1","medial"
"210","fcd260603","fcd260603_t1.wav","DICE","d",63.9728042940493,"i",64.1048035731507,0.131999279101379,40,"B1","initial"
"211","fcd260603","fcd260603_t1.wav","JUGABA","g",46.4701327546079,"a",69.8586948976355,23.3885621430275,40,"B1","medial"
"212","fcd260603","fcd260603_t1.wav","JUGABA","b",55.5621204065645,"a",69.8034234687685,14.241303062204,40,"B1","medial"
"213","fcd260603","fcd260603_t1.wav","DELANTERO","d",16.0998476760525,"e",63.3859123657636,47.2860646897112,40,"B1","initial"
"214","fcd260603","fcd260603_t1.wav","ANOTABA","b",60.4322338556448,"a",70.8370416003211,10.4048077446763,40,"B1","medial"
"215","fcd260603","fcd260603_t1.wav","GOLES","g",48.8923002963461,"o",66.6345011201786,17.7422008238325,40,"B1","initial"
"216","fcd260603","fcd260603_t1.wav","GUSTA","g",61.2815837491713,"u",66.4036903353951,5.12210658622375,40,"B1","initial"
"218","fcd260603","fcd260603_t1.wav","JUGABA","g",60.0161155146122,"a",70.6546315597779,10.6385160451657,40,"B1","medial"
"219","fcd260603","fcd260603_t1.wav","JUGABA","b",57.3091765390909,"a",70.2054639512947,12.8962874122037,40,"B1","medial"
"222","fcd260603","fcd260603_t1.wav","GUSTAN","g",58.853915437489,"u",68.5355965526853,9.68168111519632,40,"B1","initial"
"223","fcd260603","fcd260603_t1.wav","DEPORTES","d",22.4677992108648,"e",64.4282542510169,41.9604550401521,40,"B1","initial"
"224","fcd260603","fcd260603_t1.wav","BOXEO","b",51.9642063870578,"o",63.0131856782323,11.0489792911744,40,"B1","initial"
"225","fcd260603","fcd260603_t1.wav","ABUELO","b",60.3583632539651,"u",68.2639661727743,7.90560291880922,40,"B1","medial"
